DateTime,Tactic,Server
2019-06-22T07:42:19.000Z,0,2
2019-06-22T07:42:20.668Z,1,3
2019-06-22T07:43:11.000Z,0,3
2019-06-22T07:43:12.172Z,2,3
2019-06-22T07:43:36.000Z,0,3
2019-06-22T07:43:37.467Z,3,3
2019-06-22T07:43:43.000Z,0,3
2019-06-22T07:43:44.214Z,4,3
2019-06-22T07:45:58.000Z,0,3
2019-06-22T07:45:59.558Z,5,3
2019-06-22T07:46:01.000Z,0,3
2019-06-22T07:46:02.371Z,1,4
2019-06-22T07:50:12.000Z,0,4
2019-06-22T07:50:13.880Z,2,4
2019-06-22T07:50:30.000Z,0,4
2019-06-22T07:50:31.211Z,3,4
2019-06-22T07:50:53.000Z,0,4
2019-06-22T07:50:54.316Z,4,4
2019-06-22T07:52:21.000Z,0,4
2019-06-22T07:52:22.009Z,5,4
2019-06-22T07:52:40.000Z,0,4
2019-06-22T07:52:41.850Z,1,5
2019-06-22T07:53:18.000Z,0,5
2019-06-22T07:53:19.041Z,2,5
2019-06-22T07:53:46.000Z,0,5
2019-06-22T07:53:47.373Z,3,5
2019-06-22T07:53:58.000Z,0,5
2019-06-22T07:53:59.352Z,4,5
2019-06-22T07:55:38.000Z,0,5
2019-06-22T07:55:39.233Z,5,5
2019-06-22T07:55:41.000Z,0,5
2019-06-22T07:55:42.857Z,1,6
2019-06-22T08:01:02.000Z,0,6
2019-06-22T08:01:03.549Z,2,6
2019-06-22T08:01:18.000Z,0,6
2019-06-22T08:01:19.397Z,3,6
2019-06-22T08:01:24.000Z,0,6
2019-06-22T08:01:25.284Z,4,6
2019-06-22T08:03:17.000Z,0,6
2019-06-22T08:03:18.887Z,5,6
2019-06-22T08:03:19.000Z,0,6
2019-06-22T08:03:20.037Z,1,7
2019-06-22T08:09:19.000Z,0,7
2019-06-22T08:09:20.950Z,2,7
2019-06-22T08:09:43.000Z,0,7
2019-06-22T08:09:44.905Z,3,7
2019-06-22T08:10:00.000Z,0,7
2019-06-22T08:10:01.440Z,4,7
2019-06-22T08:11:39.000Z,0,7
2019-06-22T08:11:40.374Z,5,7
2019-06-22T08:11:58.000Z,0,7
2019-06-22T08:11:59.518Z,1,8
2019-06-22T08:16:34.000Z,0,8
2019-06-22T08:16:35.675Z,2,8
2019-06-22T08:16:58.000Z,0,8
2019-06-22T08:16:59.502Z,3,8
2019-06-22T08:17:18.000Z,0,8
2019-06-22T08:17:19.229Z,4,8
2019-06-22T08:18:58.000Z,0,8
2019-06-22T08:18:59.103Z,5,8
2019-06-22T08:19:10.000Z,0,8
2019-06-22T08:19:11.777Z,1,9
2019-06-22T08:20:05.000Z,0,9
2019-06-22T08:20:06.883Z,2,9
2019-06-22T08:20:58.000Z,0,9
2019-06-22T08:20:59.222Z,3,9
2019-06-22T08:21:09.000Z,0,9
2019-06-22T08:21:10.823Z,4,9
2019-06-22T08:22:32.000Z,0,9
2019-06-22T08:22:33.397Z,5,9
2019-06-22T08:22:49.000Z,0,9
2019-06-22T08:23:20.829Z,1,1
2019-06-22T08:23:52.000Z,0,1
2019-06-22T08:23:53.093Z,2,1
2019-06-22T08:24:43.000Z,0,1
2019-06-22T08:24:44.574Z,3,1
2019-06-22T08:24:49.000Z,0,1
2019-06-22T08:24:50.063Z,4,1
2019-06-22T08:26:14.000Z,0,1
2019-06-22T08:26:15.100Z,5,1
2019-06-22T08:26:17.000Z,0,1
2019-06-22T08:26:18.363Z,1,2
2019-06-22T08:26:38.000Z,0,2
2019-06-22T08:26:39.513Z,2,2
2019-06-22T08:27:07.000Z,0,2
2019-06-22T08:27:08.457Z,3,2
2019-06-22T08:27:13.000Z,0,2
2019-06-22T08:27:14.646Z,4,2
2019-06-22T08:28:53.000Z,0,2
2019-06-22T08:28:54.684Z,5,2
2019-06-22T08:28:57.000Z,0,2
2019-06-22T08:28:58.126Z,1,3
2019-06-22T08:30:05.000Z,0,3
2019-06-22T08:30:06.288Z,2,3
2019-06-22T08:30:32.000Z,0,3
2019-06-22T08:30:33.730Z,3,3
2019-06-22T08:30:37.000Z,0,3
2019-06-22T08:30:38.489Z,4,3
2019-06-22T08:32:05.000Z,0,3
2019-06-22T08:32:06.282Z,5,3
2019-06-22T08:32:22.000Z,0,3
2019-06-22T08:32:23.752Z,1,4
2019-06-22T08:34:36.000Z,0,4
2019-06-22T08:34:37.208Z,2,4
2019-06-22T08:34:58.000Z,0,4
2019-06-22T08:34:59.270Z,3,4
2019-06-22T08:35:04.000Z,0,4
2019-06-22T08:35:05.741Z,4,4
2019-06-22T08:36:40.000Z,0,4
2019-06-22T08:36:41.343Z,5,4
2019-06-22T08:36:41.000Z,0,4
2019-06-22T08:36:42.561Z,1,5
2019-06-22T08:37:08.000Z,0,5
2019-06-22T08:37:09.547Z,2,5
2019-06-22T08:37:38.000Z,0,5
2019-06-22T08:37:39.731Z,3,5
2019-06-22T08:37:45.000Z,0,5
2019-06-22T08:37:46.115Z,4,5
2019-06-22T08:39:21.000Z,0,5
2019-06-22T08:39:22.144Z,5,5
2019-06-22T08:39:28.000Z,0,5
2019-06-22T08:39:29.403Z,1,6
2019-06-22T08:45:05.000Z,0,6
2019-06-22T08:45:06.219Z,2,6
2019-06-22T08:45:26.000Z,0,6
2019-06-22T08:45:27.650Z,3,6
2019-06-22T08:45:32.000Z,0,6
2019-06-22T08:45:33.188Z,4,6
2019-06-22T08:47:05.000Z,0,6
2019-06-22T08:47:06.568Z,5,6
2019-06-22T08:47:13.000Z,0,6
2019-06-22T08:47:14.411Z,1,7
2019-06-22T08:52:48.000Z,0,7
2019-06-22T08:52:49.636Z,2,7
2019-06-22T08:53:15.000Z,0,7
2019-06-22T08:53:16.924Z,3,7
2019-06-22T08:53:21.000Z,0,7
2019-06-22T08:53:22.410Z,4,7
2019-06-22T08:54:39.000Z,0,7
2019-06-22T08:54:40.483Z,5,7
2019-06-22T08:54:42.000Z,0,7
2019-06-22T08:54:43.814Z,1,8
2019-06-22T09:00:51.000Z,0,8
2019-06-22T09:00:52.629Z,2,8
2019-06-22T09:01:16.000Z,0,8
2019-06-22T09:01:17.495Z,3,8
2019-06-22T09:01:21.000Z,0,8
2019-06-22T09:01:22.018Z,4,8
2019-06-22T09:03:13.000Z,0,8
2019-06-22T09:03:14.342Z,5,8
2019-06-22T09:03:15.000Z,0,8
2019-06-22T09:03:16.447Z,1,9
2019-06-22T09:04:10.000Z,0,9
2019-06-22T09:04:11.926Z,2,9
2019-06-22T09:04:35.000Z,0,9
2019-06-22T09:04:36.247Z,3,9
2019-06-22T09:04:42.000Z,0,9
2019-06-22T09:04:43.989Z,4,9
2019-06-22T09:06:25.000Z,0,9
2019-06-22T09:06:26.385Z,5,9
2019-06-22T09:06:46.000Z,0,9
2019-06-22T09:07:17.240Z,1,1
2019-06-22T09:07:56.000Z,0,1
2019-06-22T09:07:57.248Z,2,1
2019-06-22T09:08:35.000Z,0,1
2019-06-22T09:08:36.791Z,3,1
2019-06-22T09:08:42.000Z,0,1
2019-06-22T09:08:43.167Z,4,1
2019-06-22T09:10:29.000Z,0,1
2019-06-22T09:10:30.201Z,5,1
2019-06-22T09:10:31.000Z,0,1
2019-06-22T09:10:32.492Z,1,2
2019-06-22T09:11:04.000Z,0,2
2019-06-22T09:11:05.777Z,2,2
2019-06-22T09:11:39.000Z,0,2
2019-06-22T09:11:40.064Z,3,2
2019-06-22T09:11:44.000Z,0,2
2019-06-22T09:11:45.464Z,4,2
2019-06-22T09:13:36.000Z,0,2
2019-06-22T09:13:37.546Z,5,2
2019-06-22T09:13:40.000Z,0,2
