,timestamp,time_since_last_recording,latency,cost,reliability,ping_timestamp,time_since_last_ping,ping_success,ping_time,day1,day2,day3,day4,day5,day6,day7
3125,2020-04-10 06:32:04.000139,0.002743025356258781,0.04404127411615278,0.05078125,1,2020-04-10 06:31:59.000596,0.00027184993883376383,1,0.03879329275255386,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3130,2020-04-10 06:34:01.000984,0.0004014183448183582,0.05430276267984102,0.06445312499999999,1,2020-04-10 06:34:01.000100,0.0,1,0.03822235105009355,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3135,2020-04-10 06:44:21.000812,0.004348698735532214,0.06111021620281917,0.052734375,1,2020-04-10 06:43:38.000996,0.0028544243577545195,1,0.03857369979006912,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3140,2020-04-10 06:47:30.000683,0.0030775406436074127,0.10605402019733748,0.060546875,1,2020-04-10 06:47:29.000969,0.0,1,0.03895579154479257,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3145,2020-04-10 06:54:54.000540,0.003278249816016592,0.054073483823172994,0.056640624999999986,1,2020-04-10 06:53:19.000537,0.006456436047301889,1,0.03898214270029074,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3150,2020-04-10 07:02:25.000189,0.014384157355991169,0.06991122045277752,0.0703125,1,2020-04-10 07:00:22.000119,0.008359385619138236,1,0.03853417305682187,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3155,2020-04-10 07:06:08.000630,0.004348698735532214,0.05436037423094695,0.08203125,1,2020-04-10 07:04:16.000089,0.007611798287345386,1,0.038468295168076455,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3160,2020-04-10 07:14:33.000247,0.007894560781427709,0.0617742712116215,0.052734375,1,2020-04-10 07:11:41.000165,0.011689547369851842,1,0.03857809164931883,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3165,2020-04-10 07:16:59.000222,0.005954372114805646,0.05837506162404658,0.0625,1,2020-04-10 07:16:52.000955,0.0004077749082506457,1,0.0387669415970557,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3170,2020-04-10 07:21:15.000583,0.004014183448183582,0.046740759502442206,0.05468749999999999,1,2020-04-10 07:20:36.000512,0.002650536903629197,1,0.03873619858230784,0.0,0.0,0.0,0.0,1.0,0.0,0.0
